,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Weekdays,Time_Of_The_Day
31,Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50:00,23:15:00,805,2.0,No info,13227,1,5,2019,Wednesday,Morning
32,IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00:00,06:50:00,170,0.0,No info,4423,6,4,2019,Saturday,Night
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → MUM → COK,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919,15,6,2019,Saturday,Afternoon
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → MUM → COK,07:05:00,12:35:00,330,1.0,In-flight meal not included,12373,18,5,2019,Saturday,Morning
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → MUM → COK,10:35:00,21:00:00,625,1.0,No info,5894,27,6,2019,Thursday,Morning
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05:00,20:20:00,315,1.0,No info,4649,21,5,2019,Tuesday,Afternoon
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15:00,16:45:00,150,0.0,No info,6245,18,5,2019,Saturday,Afternoon
38,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → MUM → DEL,07:00:00,13:15:00,375,1.0,No info,19225,6,3,2019,Wednesday,Morning
39,Jet Airways,2019-06-03,Delhi,Cochin,DEL → MUM → COK,07:05:00,19:00:00,715,1.0,No info,14924,3,6,2019,Monday,Morning
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05:00,18:10:00,665,1.0,No info,9646,21,5,2019,Tuesday,Morning
41,Air India,2019-03-15,Banglore,New Delhi,BLR → MUM → DEL,06:45:00,15:15:00,510,1.0,No info,8714,15,3,2019,Friday,Morning
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → MUM → COK,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12373,18,5,2019,Saturday,Evening
43,Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10:00,13:55:00,165,0.0,No info,3383,6,5,2019,Monday,Morning
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → MUM → COK,09:00:00,21:00:00,720,1.0,No info,13062,21,3,2019,Thursday,Morning
45,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45:00,08:35:00,170,0.0,No check-in baggage included,3527,24,3,2019,Sunday,Night
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00:00,06:50:00,170,0.0,No info,3943,27,5,2019,Monday,Night
47,Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40:00,13:55:00,135,0.0,No info,4667,3,5,2019,Friday,Morning
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00:00,11:05:00,965,1.0,No info,6117,15,5,2019,Wednesday,Evening
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → MUM → COK,23:05:00,19:00:00,1195,2.0,In-flight meal not included,11150,27,6,2019,Thursday,Night
50,Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202,9,3,2019,Saturday,Morning
51,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,10:55:00,1520,1.0,No info,12121,1,5,2019,Wednesday,Morning
52,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20:00,01:10:00,170,0.0,No info,4377,24,3,2019,Sunday,Night
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15:00,00:15:00,180,0.0,No info,3943,18,6,2019,Tuesday,Night
54,Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55:00,02:45:00,170,0.0,No info,4483,3,4,2019,Wednesday,Night
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → MUM → BLR,19:45:00,12:00:00,975,1.0,No info,14231,24,3,2019,Sunday,Evening
56,Air India,2019-03-01,Banglore,New Delhi,BLR → MUM → AMD → DEL,08:50:00,23:55:00,905,2.0,No info,17345,1,3,2019,Friday,Morning
57,Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05:00,09:20:00,135,0.0,No info,7414,6,3,2019,Wednesday,Morning
58,Multiple carriers,2019-05-06,Delhi,Cochin,DEL → MUM → COK,19:00:00,01:30:00,390,1.0,No info,8073,6,5,2019,Monday,Evening
59,Vistara,2019-03-06,Mumbai,Hyderabad,MUM → DEL → HYD,15:40:00,16:45:00,1505,1.0,No info,12395,6,3,2019,Wednesday,Afternoon
60,Air India,2019-06-06,Kolkata,Banglore,CCU → MUM → BLR,09:25:00,21:50:00,745,1.0,No info,8366,6,6,2019,Thursday,Morning
61,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05:00,09:25:00,1640,1.0,No info,5117,3,4,2019,Wednesday,Morning
62,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → MUM → COK,08:45:00,19:00:00,615,1.0,No info,12524,3,6,2019,Monday,Morning
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → MUM → COK,15:00:00,01:30:00,630,1.0,No info,7191,15,5,2019,Wednesday,Afternoon
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05:00,09:20:00,135,0.0,No info,3687,24,5,2019,Friday,Morning
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → MUM → COK,10:35:00,21:00:00,625,1.0,No info,5894,24,6,2019,Monday,Morning
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45:00,12:35:00,170,0.0,No info,5403,24,4,2019,Wednesday,Morning
67,Air India,2019-05-06,Mumbai,Hyderabad,MUM → HYD,13:55:00,15:25:00,90,0.0,No info,3625,6,5,2019,Monday,Afternoon
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → MUM → COK,05:55:00,19:15:00,800,2.0,No info,10861,21,5,2019,Tuesday,Night
69,IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20:00,15:35:00,135,0.0,No info,6297,12,3,2019,Tuesday,Afternoon
70,Jet Airways,2019-06-01,Mumbai,Hyderabad,MUM → HYD,07:05:00,08:30:00,85,0.0,No info,5678,1,6,2019,Saturday,Morning
71,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → MUM → DEL,05:45:00,08:15:00,1590,1.0,In-flight meal not included,9134,9,3,2019,Saturday,Night
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → MUM → COK,11:40:00,19:00:00,440,1.0,In-flight meal not included,10791,24,6,2019,Monday,Morning
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → MUM → COK,23:05:00,12:35:00,810,2.0,No info,12819,24,6,2019,Monday,Night
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05:00,10:05:00,300,1.0,No info,6893,21,3,2019,Thursday,Night
75,Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50:00,12:35:00,165,0.0,No info,7240,9,3,2019,Saturday,Morning
76,GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40:00,14:30:00,170,0.0,No info,3898,3,4,2019,Wednesday,Morning
77,IndiGo,2019-04-03,Mumbai,Hyderabad,MUM → HYD,06:25:00,07:55:00,90,0.0,No info,4049,3,4,2019,Wednesday,Morning
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → MUM → COK,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262,15,6,2019,Saturday,Afternoon
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332,21,3,2019,Thursday,Morning
80,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,12:00:00,890,1.0,In-flight meal not included,10844,9,6,2019,Sunday,Night
81,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55:00,22:35:00,160,0.0,No info,7229,24,3,2019,Sunday,Evening
82,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,06:30:00,04:40:00,1330,1.0,No info,13941,6,5,2019,Monday,Morning
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → MUM → COK,11:25:00,21:00:00,575,1.0,No info,5894,27,6,2019,Thursday,Morning
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → MUM → COK,09:00:00,19:00:00,600,1.0,No info,10197,18,5,2019,Saturday,Morning
85,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → MUM → DEL,14:05:00,11:25:00,1280,1.0,In-flight meal not included,13712,6,3,2019,Wednesday,Afternoon
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25:00,325,1.0,No info,5636,24,6,2019,Monday,Night
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → MUM → COK,09:40:00,04:25:00,1125,2.0,No info,13014,6,6,2019,Thursday,Morning
88,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,20:45:00,740,1.0,In-flight meal not included,7064,1,4,2019,Monday,Morning
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25:00,14:25:00,1080,1.0,In-flight meal not included,10703,24,5,2019,Friday,Evening
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15:00,22:30:00,555,1.0,No info,9646,27,5,2019,Monday,Afternoon
91,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → MUM → COK,02:15:00,13:20:00,665,1.0,No info,17057,6,3,2019,Wednesday,Night
92,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → MUM → DEL,16:55:00,10:25:00,1050,1.0,No info,13817,12,3,2019,Tuesday,Afternoon
93,Air India,2019-03-06,Delhi,Cochin,DEL → BHO → MUM → COK,05:55:00,19:15:00,800,2.0,No info,13748,6,3,2019,Wednesday,Night
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45:00,23:20:00,155,0.0,No info,4880,21,4,2019,Sunday,Evening
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15:00,07:40:00,145,0.0,No info,3540,21,6,2019,Friday,Night
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55:00,08:35:00,160,0.0,No check-in baggage included,3257,15,5,2019,Wednesday,Night
97,Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50:00,22:50:00,180,0.0,In-flight meal not included,6478,3,6,2019,Monday,Evening
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,MUM → HYD,07:05:00,08:30:00,85,0.0,No info,8040,18,6,2019,Tuesday,Morning
99,Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → MUM → COK,20:00:00,12:35:00,995,2.0,No info,14300,12,6,2019,Wednesday,Evening
100,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,20:45:00,740,1.0,No info,14781,15,5,2019,Wednesday,Morning
101,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,08:15:00,735,1.0,No info,14939,9,6,2019,Sunday,Evening
102,Jet Airways,2019-06-24,Delhi,Cochin,DEL → MUM → COK,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262,24,6,2019,Monday,Evening
103,Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35:00,14:35:00,1440,1.0,No info,6528,12,5,2019,Sunday,Afternoon
104,Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10:00,08:55:00,165,0.0,No info,6121,1,5,2019,Wednesday,Morning
105,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → MUM → COK,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029,18,5,2019,Saturday,Evening
106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → MUM → COK,11:40:00,18:50:00,430,1.0,No info,11421,27,3,2019,Wednesday,Morning
107,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → MUM → COK,04:45:00,19:15:00,870,1.0,No info,7574,27,3,2019,Wednesday,Night
108,Air India,2019-05-09,Delhi,Cochin,DEL → JDH → MUM → COK,12:55:00,19:15:00,1820,2.0,No info,11596,9,5,2019,Thursday,Afternoon
109,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → MUM → COK,23:05:00,19:00:00,1195,2.0,No info,15129,24,5,2019,Friday,Night
110,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → MUM → DEL,14:05:00,05:05:00,900,1.0,No info,13555,18,3,2019,Monday,Afternoon
111,IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55:00,21:50:00,175,0.0,No info,5780,12,4,2019,Friday,Evening
112,Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20:00,09:05:00,765,1.0,No info,9397,12,5,2019,Sunday,Evening
113,Jet Airways,2019-03-06,Delhi,Cochin,DEL → MUM → COK,18:15:00,04:25:00,610,1.0,No info,17024,6,3,2019,Wednesday,Evening
114,GoAir,2019-06-27,Delhi,Cochin,DEL → MUM → COK,07:00:00,12:55:00,355,1.0,No info,5281,27,6,2019,Thursday,Morning
115,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05:00,22:30:00,925,1.0,No info,10348,18,5,2019,Saturday,Morning
116,Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20:00,09:25:00,965,1.0,No info,12677,6,3,2019,Wednesday,Afternoon
117,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → MUM → COK,15:25:00,01:35:00,610,1.0,No info,15147,3,3,2019,Sunday,Afternoon
118,Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00:00,09:40:00,160,0.0,No info,4668,12,6,2019,Wednesday,Morning
119,Jet Airways,2019-05-09,Delhi,Cochin,DEL → MUM → COK,07:05:00,19:00:00,715,1.0,No info,15554,9,5,2019,Thursday,Morning
120,SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55:00,08:35:00,160,0.0,No info,3971,9,4,2019,Tuesday,Night
121,Air India,2019-05-03,Mumbai,Hyderabad,MUM → HYD,15:00:00,16:25:00,85,0.0,No info,3100,3,5,2019,Friday,Afternoon
122,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,10:05:00,845,1.0,In-flight meal not included,9663,6,5,2019,Monday,Evening
123,Air India,2019-03-01,Delhi,Cochin,DEL → MUM → COK,23:00:00,19:15:00,1215,1.0,No info,27430,1,3,2019,Friday,Night
124,IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15:00,07:40:00,145,0.0,No info,3540,12,5,2019,Sunday,Night
125,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → MUM → BLR,12:00:00,11:10:00,1390,2.0,No info,10676,21,5,2019,Tuesday,Afternoon
126,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → MUM → BLR,14:05:00,08:15:00,1090,1.0,No info,13044,12,6,2019,Wednesday,Afternoon
127,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,12:00:00,960,1.0,No info,14388,6,5,2019,Monday,Evening
128,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00:00,06:50:00,170,0.0,No info,3943,24,6,2019,Monday,Night
129,IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45:00,17:05:00,140,0.0,No info,3597,3,6,2019,Monday,Afternoon
130,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50:00,19:50:00,480,1.0,No info,5932,21,3,2019,Thursday,Morning
131,Jet Airways,2019-06-15,Delhi,Cochin,DEL → MUM → COK,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262,15,6,2019,Saturday,Morning
132,Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40:00,17:50:00,190,0.0,No info,6216,12,5,2019,Sunday,Afternoon
133,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25:00,23:10:00,165,0.0,No info,4804,15,6,2019,Saturday,Evening
134,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → MUM → COK,11:30:00,01:30:00,840,1.0,No info,14067,21,5,2019,Tuesday,Morning
135,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → MUM → COK,19:10:00,19:00:00,1430,2.0,No info,15129,18,5,2019,Saturday,Evening
136,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → MUM → COK,06:45:00,04:25:00,1300,2.0,No info,13376,6,6,2019,Thursday,Morning
137,Air India,2019-06-27,Delhi,Cochin,DEL → GOI → MUM → COK,22:00:00,19:15:00,1275,2.0,No info,10441,27,6,2019,Thursday,Night
138,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030,24,5,2019,Friday,Morning
139,Jet Airways,2019-03-03,Delhi,Cochin,DEL → MUM → COK,08:00:00,18:50:00,650,1.0,No info,17024,3,3,2019,Sunday,Morning
140,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → MUM → COK,17:30:00,01:30:00,480,1.0,No info,13017,9,4,2019,Tuesday,Afternoon
141,GoAir,2019-06-06,Kolkata,Banglore,CCU → MUM → BLR,23:30:00,07:45:00,495,1.0,No info,6686,6,6,2019,Thursday,Night
142,IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25:00,325,1.0,No info,5636,15,6,2019,Saturday,Night
143,IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,07:35:00,16:10:00,515,1.0,No info,6442,9,6,2019,Sunday,Morning
144,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05:00,00:55:00,710,1.0,No info,9486,21,5,2019,Tuesday,Afternoon
145,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844,21,5,2019,Tuesday,Evening
146,Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → MUM → COK,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318,3,6,2019,Monday,Evening
147,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,12:30:00,09:25:00,1255,1.0,No info,5117,3,4,2019,Wednesday,Afternoon
148,IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,15:10:00,20:00:00,290,1.0,No info,6147,24,6,2019,Monday,Afternoon
149,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → MUM → COK,12:50:00,21:00:00,490,1.0,No info,7005,9,6,2019,Sunday,Afternoon
150,SpiceJet,2019-04-03,Kolkata,Banglore,CCU → BLR,22:20:00,00:40:00,140,0.0,No info,3873,3,4,2019,Wednesday,Night
151,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → MUM → COK,18:25:00,18:50:00,1465,2.0,In-flight meal not included,9270,21,3,2019,Thursday,Evening
152,GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,11:40:00,14:30:00,170,0.0,No info,3898,27,6,2019,Thursday,Morning
153,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,20:45:00,740,1.0,No info,14781,12,5,2019,Sunday,Morning
154,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586,24,5,2019,Friday,Evening
155,Air India,2019-05-09,Kolkata,Banglore,CCU → JAI → MUM → BLR,08:20:00,07:55:00,1415,2.0,No info,10697,9,5,2019,Thursday,Morning
156,Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → MUM → COK,20:00:00,12:35:00,995,2.0,No info,14300,27,6,2019,Thursday,Evening
157,IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,18:55:00,21:45:00,170,0.0,No info,8855,3,3,2019,Sunday,Evening
158,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → MUM → BLR,16:30:00,18:15:00,1545,1.0,In-flight meal not included,10844,12,5,2019,Sunday,Afternoon
159,Jet Airways,2019-03-06,Delhi,Cochin,DEL → MUM → COK,02:15:00,04:25:00,1570,1.0,No info,17024,6,3,2019,Wednesday,Night
160,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,14:25:00,1730,1.0,In-flight meal not included,9314,1,5,2019,Wednesday,Morning
161,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,00:40:00,03:25:00,165,0.0,No info,4777,24,3,2019,Sunday,Night
162,Air India,2019-06-09,Kolkata,Banglore,CCU → BBI → BLR,12:00:00,13:15:00,1515,1.0,No info,7662,9,6,2019,Sunday,Afternoon
163,IndiGo,2019-05-09,Delhi,Cochin,DEL → HYD → COK,06:50:00,16:10:00,560,1.0,No info,6442,9,5,2019,Thursday,Morning
164,SpiceJet,2019-06-12,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15:00,270,1.0,No info,5264,12,6,2019,Wednesday,Morning
165,Jet Airways,2019-05-27,Delhi,Cochin,DEL → MUM → COK,13:00:00,04:25:00,925,1.0,In-flight meal not included,12898,27,5,2019,Monday,Afternoon
166,Air India,2019-03-03,Mumbai,Hyderabad,MUM → HYD,13:55:00,15:25:00,90,0.0,No info,6092,3,3,2019,Sunday,Afternoon
167,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,05:55:00,08:35:00,160,0.0,No info,3311,21,5,2019,Tuesday,Night
168,Jet Airways,2019-03-27,Delhi,Cochin,DEL → MUM → COK,19:15:00,04:25:00,550,1.0,In-flight meal not included,6540,27,3,2019,Wednesday,Evening
169,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,01:30:00,04:15:00,165,0.0,No info,3419,27,5,2019,Monday,Night
170,Jet Airways,2019-04-03,Delhi,Cochin,DEL → MUM → COK,14:00:00,12:35:00,1355,1.0,In-flight meal not included,5177,3,4,2019,Wednesday,Afternoon
171,Air India,2019-04-18,Delhi,Cochin,DEL → COK,18:05:00,21:10:00,185,0.0,No info,8246,18,4,2019,Thursday,Evening
172,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,21:05:00,690,1.0,No info,14676,9,6,2019,Sunday,Morning
173,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → MUM → COK,11:30:00,21:00:00,570,1.0,No info,13587,27,6,2019,Thursday,Morning
174,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663,6,5,2019,Monday,Night
175,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → MUM → BLR,16:30:00,10:05:00,1055,1.0,No info,13044,12,6,2019,Wednesday,Afternoon
